,0,1,2,__mappify_error,Latitude,Longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType
5993,Parramatta,LOCATION,18881126-1178-228414597 (4 of 8).txt,No match found.,151.0011111111111,-33.815,NSW,0.6132010836198244,0.0,6,83.33333333333334,exact
5994,Middle Harbour,LOCATION,18881126-1178-228414597 (4 of 8).txt,No match found.,151.23388888888888,-33.79111111111111,NSW,0.02778047918981923,0.02944968506821702,3,100.0,exact
5995,Pennant Hills,LOCATION,18881126-1178-228414597 (4 of 8).txt,No match found.,151.07333333333332,-33.74,NSW,0.0,0.0,1,100.0,exact
5996,Parra'matta,LOCATION,18881126-1178-228414597 (4 of 8).txt,No match found.,151.0011111111111,-33.815,NSW,0.6132010836198244,0.0,7,71.42857142857143,fuzzy
5997,Wollongong,LOCATION,18881126-1178-228414597 (4 of 8).txt,No match found.,150.89291666666668,-34.42513888888889,NSW,0.029839385607442162,0.009218498807194973,4,100.0,exact
5998,Lake Huron,LOCATION,18830512-41-42003579 (1 of 1).txt,No match found.,,,None,,,0,,None
5999,Gippsland,LOCATION,18980716-460-138601840 (1 of 1).txt,No match found.,146.966,-37.4032,Ambiguous,0.0,0.0,2,,exact
6000,Tasmania,LOCATION,18960111-621-221173626 (1 of 1).txt,No match found.,146.75,-42.0,TAS,0.0,0.0,2,100.0,exact
6001,LAUNCESTON,LOCATION,18960111-621-221173626 (1 of 1).txt,No match found.,147.2219997,-41.400499315,TAS,0.0910178283940018,0.0910178283940018,2,100.0,exact
6002,SOUTH AUSTRALIA,LOCATION,18990325-821-162358077 (1 of 5).txt,No match found.,137.305178,-32.4907365,SA,3.424218638749024,3.424218638749024,2,100.0,exact
6003,Start River,LOCATION,18990325-821-162358077 (1 of 5).txt,No match found.,147.5627777777778,-20.101666666666667,QLD,7.166742850585596,7.166742850585596,4,50.0,fuzzy
6004,South Main,LOCATION,18990325-821-162358077 (1 of 5).txt,No match found.,,,None,,,0,,None
6005,Ireland,LOCATION,18990325-821-162358077 (1 of 5).txt,No match found.,,,None,,,0,,None
6006,Kellyville,LOCATION,18990311-192-66440476 (1 of 1).txt,No match found.,150.067391,-34.672838666666664,NSW,1.305262021553311,1.305262021553311,3,66.66666666666666,exact
6007,Bullocky,LOCATION,18750123-621-219890134 (3 of 3).txt,No match found.,147.1809905,-34.7450815,NSW,0.0,0.0,1,100.0,exact
6008,Annabella,LOCATION,18750123-621-219890134 (3 of 3).txt,No match found.,,,None,,,0,,None
6009,BUNGENDORE,LOCATION,18880317-368-98454981 (1 of 1).txt,No match found.,149.4511111111111,-35.248333333333335,NSW,1.1991352807961106,0.007808718220472098,4,100.0,exact
6010,Bungendore,LOCATION,18880317-368-98454981 (1 of 1).txt,No match found.,149.4511111111111,-35.248333333333335,NSW,1.1991352807961106,0.007808718220472098,4,100.0,exact
6011,Yarrabee,LOCATION,18960109-1297-238692405 (2 of 2).txt,No match found.,140.63458,-34.7454,Ambiguous,4.299124692711443,4.275320125649816,13,,exact
6012,Creek,LOCATION,18860623-43-22098772 (1 of 2).txt,No match found.,,,None,,,0,,None
6013,Latne,LOCATION,18820201-232-249290709 (1 of 1).txt,No match found.,,,None,,,0,,None
6014,Bynyn,LOCATION,18931213-367-103405171 (1 of 1).txt,No match found.,,,None,,,0,,None
6015,Nuarrander,LOCATION,18931213-367-103405171 (1 of 1).txt,No match found.,146.5511111111111,-34.74,NSW,0.02308908860479015,0.01666666666666572,4,100.0,fuzzy
6016,Ballandry,LOCATION,18931213-367-103405171 (1 of 1).txt,No match found.,146.10839947222223,-34.06284791666667,NSW,0.0753659025219845,0.0753659025219845,2,100.0,exact
6017,Plneasant Valley,LOCATION,18931213-367-103405171 (1 of 1).txt,No match found.,,,None,,,0,,None
6018,Loochlsn,LOCATION,18931213-367-103405171 (1 of 1).txt,No match found.,,,None,,,0,,None
6019,Gre Gre,LOCATION,18830320-13-8505142 (5 of 5).txt,No match found.,143.060138888888,-36.65097046,VIC,0.02449718801401722,0.010835095555499663,5,60.0,exact
6020,Auldana,LOCATION,18940126-966-200766160 (2 of 2).txt,No match found.,138.68717,-34.91789,SA,0.0,0.0,1,100.0,exact
6021,Bullock Creek,LOCATION,18650304-319-197035153 (10 of 22).txt,No match found.,148.31777777777776,-24.366666666666667,Ambiguous,5.970925302783086,6.485643785210662,63,,exact
6022,Moonee Ponds,LOCATION,18650107-35-30935439 (1 of 1).txt,No match found.,144.9201355,-37.7654166666666,VIC,0.0009276110667266042,0.0011139009787664133,3,100.0,exact
6023,Wangaratta,LOCATION,18650107-35-30935439 (1 of 1).txt,No match found.,146.3165283,-36.35486221,VIC,0.005494748627165731,0.005892148856502997,4,75.0,exact
6024,Mount Victoria,LOCATION,18950914-52-71222902 (13 of 21).txt,No match found.,149.86777777777777,-36.78374863,Ambiguous,2.9166844996620602,3.223006879351803,11,,exact
6025,Victoria,LOCATION,18980216-472-100714319 (1 of 1).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709,3.9293591131536396,11,63.63636363636363,exact
6026,Syduey,LOCATION,18980216-472-100714319 (1 of 1).txt,No match found.,,,None,,,0,,None
6027,Bulabul Creek,LOCATION,18750125-67-61020825 (3 of 6).txt,No match found.,146.23534646666667,-29.858263523333335,Ambiguous,7.186016294827318,7.186016294827318,2,,fuzzy
6028,North Shore,LOCATION,18751112-985-187718251 (3 of 5).txt,No match found.,144.71631824444398,-39.43423653,Ambiguous,1.866847005626331,1.380142063202348,6,,exact
6029,North Shore,LOCATION,18751112-985-187718251 (3 of 5).txt,No match found.,144.71631824444398,-39.43423653,Ambiguous,1.866847005626331,1.380142063202348,6,,exact
6030,Neutral Bay,LOCATION,18751112-985-187718251 (3 of 5).txt,No match found.,151.21777777777777,-33.83166666666667,NSW,0.0,0.0,2,100.0,exact
6031,North Shore,LOCATION,18751112-985-187718251 (3 of 5).txt,No match found.,144.71631824444398,-39.43423653,Ambiguous,1.866847005626331,1.380142063202348,6,,exact
6032,Neutral Bay,LOCATION,18751112-985-187718251 (3 of 5).txt,No match found.,151.21777777777777,-33.83166666666667,NSW,0.0,0.0,2,100.0,exact
6033,SYDNEY,LOCATION,18831225-232-262611790 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
6034,Brisbane,LOCATION,18831225-232-262611790 (1 of 1).txt,No match found.,151.92291666666665,-29.82472222222222,Ambiguous,2.603174807409623,2.603174807409623,2,,exact
6035,Rottoest,LOCATION,18790129-1128-212141142 (1 of 1).txt,No match found.,,,None,,,0,,None
6036,Freshwater Bay,LOCATION,18790129-1128-212141142 (1 of 1).txt,No match found.,134.3841111111111,-18.321790555555555,Ambiguous,15.125336269030884,14.063780498372813,7,,exact
6037,Franklin Harbour,LOCATION,18810122-1332-244701407 (1 of 1).txt,No match found.,136.9380402,-33.71720039,SA,0.0,0.0,1,100.0,fuzzy
6038,West,LOCATION,18880405-10-9144774 (1 of 1).txt,No match found.,,,None,,,0,,None
6039,Muddy Plains,LOCATION,18880405-10-9144774 (1 of 1).txt,No match found.,147.125,-41.420000075000004,TAS,0.06020784686646907,0.06020784686646907,2,100.0,exact
6040,Cowarbee,LOCATION,18691020-412-104085372 (1 of 1).txt,No match found.,,,None,,,0,,None
6041,Yarrowie,LOCATION,18860108-1096-210502734 (1 of 1).txt,No match found.,138.428832,-33.05116653,SA,0.0,0.0,1,100.0,exact
6042,Sydney,LOCATION,18860108-1096-210502734 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
6043,Sydney,LOCATION,18990203-1176-218625928 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
6044,Now Zealand,LOCATION,18990203-1176-218625928 (1 of 1).txt,No match found.,,,None,,,0,,None
6045,M.L,LOCATION,18890608-326-199667678 (1 of 1).txt,No match found.,,,None,,,0,,None
6046,Bald Hill,LOCATION,18650304-319-197035153 (18 of 22).txt,No match found.,148.28444444444443,-34.25655272,Ambiguous,4.4820064145009,3.6940620417171384,193,,exact
6047,Ovsiib District Hospital,LOCATION,18890608-326-199667678 (1 of 1).txt,No match found.,,,None,,,0,,None
6048,New York,LOCATION,18571205-326-113018214 (2 of 3).txt,No match found.,,,None,,,0,,None
6049,Wanaaring,LOCATION,18880114-426-142596648 (1 of 1).txt,No match found.,144.12743666666665,-29.70041666666667,NSW,0.013651202952255937,0.013118481599071337,5,80.0,exact
6050,Gundabooka Mountain,LOCATION,18880114-426-142596648 (1 of 1).txt,No match found.,,,None,,,0,,None
6051,Man grove,LOCATION,18961017-192-72550009 (1 of 1).txt,No match found.,151.2927777777778,-33.35666666666667,NSW,0.8103984826684105,0.20899893673308356,4,75.0,fuzzy
6052,Australia,LOCATION,18971022-714-148070124 (1 of 1).txt,No match found.,137.13828,-28.61389,Ambiguous,0.0,0.0,2,,exact
6053,Gabberdine,LOCATION,18690224-180-66031791 (2 of 3).txt,No match found.,,,None,,,0,,None
6054,Oxley Plains,LOCATION,18810224-326-199460775 (4 of 4).txt,No match found.,,,None,,,0,,None
6055,Launceston,LOCATION,18980108-291-87775126 (5 of 6).txt,No match found.,147.2219997,-41.400499315,TAS,0.0910178283940018,0.0910178283940018,2,100.0,exact
6056,Scottadale,LOCATION,18980108-291-87775126 (5 of 6).txt,No match found.,138.99962,-33.96989,SA,0.0,0.0,1,100.0,fuzzy
6057,Ferntree,LOCATION,18980108-291-87775126 (5 of 6).txt,No match found.,153.11666666666667,-28.316666666666666,QLD,0.0,0.0,1,100.0,exact
6058,Penitentiary,LOCATION,18980108-291-87775126 (5 of 6).txt,No match found.,,,None,,,0,,None
6059,West Ysxrah,LOCATION,18910205-41-48089283 (1 of 2).txt,No match found.,,,None,,,0,,None
6060,Gippsland,LOCATION,18980809-136-68691246 (3 of 5).txt,No match found.,146.966,-37.4032,Ambiguous,0.0,0.0,2,,exact
6061,Buln Buln East,LOCATION,18980809-136-68691246 (3 of 5).txt,No match found.,145.994305555555,-38.0868055555555,VIC,0.0,0.0,1,100.0,exact
6062,Gippsland,LOCATION,18980809-136-68691246 (3 of 5).txt,No match found.,146.966,-37.4032,Ambiguous,0.0,0.0,2,,exact
6063,BUSSELTON,LOCATION,18880118-180-66083864 (1 of 1).txt,No match found.,115.346,-33.65658,WA,0.010679810328977966,0.008609999999997342,3,100.0,exact
6064,Gippsland,LOCATION,18981027-127-61121429 (3 of 3).txt,No match found.,146.966,-37.4032,Ambiguous,0.0,0.0,2,,exact
6065,Scarne Bridge,LOCATION,18950301-133-65800509 (1 of 1).txt,No match found.,,,None,,,0,,None
6066,Queensland,LOCATION,18720120-382-145062849 (3 of 4).txt,No match found.,121.2023,-31.02926,WA,0.0,0.0,1,100.0,exact
6067,Balonne,LOCATION,18720120-382-145062849 (3 of 4).txt,No match found.,148.85,-27.233333333333334,QLD,0.0,0.0,1,100.0,exact
6068,New South Wales,LOCATION,18880121-1093-207760007 (1 of 1).txt,No match found.,147.01777777777778,-32.16166666666666,NSW,0.0,0.0,1,100.0,exact
6069,Walgott,LOCATION,18720120-382-145062849 (3 of 4).txt,No match found.,,,None,,,0,,None
6070,Broken Hill,LOCATION,18880121-1093-207760007 (1 of 1).txt,No match found.,141.4511111111111,-31.965,NSW,0.0027777777777847255,0.0,3,100.0,exact
6071,Franklin Harbour,LOCATION,18860416-966-197814408 (1 of 2).txt,No match found.,136.9380402,-33.71720039,SA,0.0,0.0,1,100.0,fuzzy
