article_id,article_placename,latitude_1,longitude_2,State_2,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,filename_2
93148281,New South Wales,147.0177778,-32.16166667,NSW,0,0,1,100,exact,18840105-289-93148281 (2 of 2).txt
93148281,Yass,148.9011111,-34.83722222,NSW,0.0251575,0.021056215,6,83.33333333,exact,18840105-289-93148281 (2 of 2).txt
93148281,Cowra,148.6577778,-33.81833333,NSW,0.881959603,0.084983659,6,83.33333333,exact,18840105-289-93148281 (2 of 2).txt
93148281,England,152.4666667,-27.43333333,QLD,0,0,1,100,exact,18840105-289-93148281 (2 of 2).txt
93148281,Bear Island,151.19125,-33.76180556,NSW,0.23361301,0.23361301,4,50,fuzzy,18840105-289-93148281 (2 of 2).txt
93148281,Botany Bay,151.1846111,-33.98166667,NSW,0.010642517,0.000166667,3,100,exact,18840105-289-93148281 (2 of 2).txt
93148281,Woolahra,146.810489,-29.3406585,NSW,0,0,1,100,exact,18840105-289-93148281 (2 of 2).txt
5810056,Melbourne,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,18680229-13-5810056 (1 of 2).txt
5810056,Scarsdale,143.6561051,-37.66902924,VIC,0.004102368,0.001338975,5,80,exact,18680229-13-5810056 (1 of 2).txt
5810056,Ballarat Star,,,None,,,0,,None,18680229-13-5810056 (1 of 2).txt
5810056,Sunbury,142.7760261,-36.98304031,Ambiguous,3.007655324,2.041462456,7,,exact,18680229-13-5810056 (1 of 2).txt
199010670,Chinaman 's Creek,148.2511111,-30.38166667,Ambiguous,7.062646075,6.347109557,82,,fuzzy,18771225-582-199010670 (1 of 2).txt
123551990,Nangus,147.9011111,-35.03166667,NSW,0.025676157,0.016666667,4,100,exact,18681226-487-123551990 (2 of 3).txt
123551990,Nangus,147.9011111,-35.03166667,NSW,0.025676157,0.016666667,4,100,exact,18681226-487-123551990 (2 of 3).txt
200665836,Victoria,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,18820201-185-200665836 (2 of 3).txt
200665836,South Australia,137.305178,-32.4907365,SA,3.424218639,3.424218639,2,100,exact,18820201-185-200665836 (2 of 3).txt
200665836,Melbourne,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,18820201-185-200665836 (2 of 3).txt
200665836,Melbourne,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,18820201-185-200665836 (2 of 3).txt
200665836,Lake Boise,,,None,,,0,,None,18820201-185-200665836 (2 of 3).txt
200665836,Spring Creek,,,None,,,0,,None,18820201-185-200665836 (2 of 3).txt
200665836,Daylesford,144.144722,-37.34222308,VIC,0.002460246,0.002460246,4,50,exact,18820201-185-200665836 (2 of 3).txt
200665836,Warrnambool,142.4851379,-38.38347222,VIC,0.019431066,0.001665678,4,75,exact,18820201-185-200665836 (2 of 3).txt
200665836,Reedy Creek,150.0344444,-32.70666667,Ambiguous,4.006862387,3.525630361,186,,exact,18820201-185-200665836 (2 of 3).txt
200665836,Kilmore,144.9512482,-37.29708481,VIC,0.000741876,0.00083542,6,50,exact,18820201-185-200665836 (2 of 3).txt
88880183,Derrinal,144.6393056,-36.87680556,VIC,0,0,1,100,exact,18800117-346-88880183 (2 of 2).txt
125039715,Sandgate,153.0705556,-27.32055556,QLD,0.003477405,0.002952818,5,60,exact,18971118-377-125039715 (2 of 2).txt
158940423,Peninsula,116.0693,-31.96788,WA,2.628063724,1.95898,4,75,exact,18700101-821-158940423 (2 of 5).txt
149481934,Belfast,142.216948,-38.36500018,VIC,0.02475031,0.02475031,4,50,exact,18860119-742-149481934 (1 of 1).txt
149481934,Ballarat,143.8565216,-37.55986023,VIC,0.009418973,0.002377951,6,83.33333333,exact,18860119-742-149481934 (1 of 1).txt
149481934,Tasmania,146.75,-42,TAS,0,0,2,100,exact,18860119-742-149481934 (1 of 1).txt
149481934,Adelaide,139.172745,-35.667645,SA,2.131542021,1.888444573,4,100,exact,18860119-742-149481934 (1 of 1).txt
149481934,Adelaide,139.172745,-35.667645,SA,2.131542021,1.888444573,4,100,exact,18860119-742-149481934 (1 of 1).txt
149481934,Stawell,142.7781944,-37.05819444,VIC,0.014445086,0.005660869,5,60,exact,18860119-742-149481934 (1 of 1).txt
149481934,Ararat,142.9273682,-37.28291667,VIC,0.008438304,0.004046349,6,83.33333333,exact,18860119-742-149481934 (1 of 1).txt
149481934,Wangaratta,146.3165283,-36.35486221,VIC,0.005494749,0.005892149,4,75,exact,18860119-742-149481934 (1 of 1).txt
18791257,Belford,151.2761111,-32.64833333,NSW,0.014995405,0.0186339,3,100,exact,18750119-8-18791257 (2 of 4).txt
18791257,Muswellbrook,150.8909722,-32.26666667,NSW,0.006737185,0.006737185,2,100,exact,18750119-8-18791257 (2 of 4).txt
18791257,Sugarloaf,150.8927778,-32.44652778,NSW,2.545886463,2.089642959,61,68.85245902,exact,18750119-8-18791257 (2 of 4).txt
18791257,Maitland,151.5511111,-32.74833333,Ambiguous,5.60926681,0.050307695,6,,exact,18750119-8-18791257 (2 of 4).txt
18791257,Mount Vincent,151.4844444,-32.915,NSW,0.636949096,0.029199717,7,71.42857143,exact,18750119-8-18791257 (2 of 4).txt
18791257,Oakvale,149.0286255,-33.14163225,NSW,3.007334731,2.877951,21,76.19047619,exact,18750119-8-18791257 (2 of 4).txt
43010105,Galle,,,None,,,0,,None,18760103-41-43010105 (2 of 2).txt
