0,1,2
Ballarat,LOCATION,18870204-558-150395118 (1 of 1).txt
Marshall,PERSON,18870204-558-150395118 (1 of 1).txt
Opera House Company,ORGANIZATION,18870204-558-150395118 (1 of 1).txt
Alexantler Fraser,PERSON,18650325-13-5742893 (1 of 2).txt
Myles Patterson,PERSON,18650325-13-5742893 (1 of 2).txt
J.P.,LOCATION,18650325-13-5742893 (1 of 2).txt
Ballarat,LOCATION,18650325-13-5742893 (1 of 2).txt
Chewton,LOCATION,18650325-13-5742893 (1 of 2).txt
Beechworth,LOCATION,18650325-13-5742893 (1 of 2).txt
SOUTH WALES,LOCATION,18840126-232-262613695 (2 of 3).txt
Newcastle,ORGANIZATION,18840126-232-262613695 (2 of 3).txt
Tbe W & rstah Company,ORGANIZATION,18840126-232-262613695 (2 of 3).txt
Cbarleitown,LOCATION,18840126-232-262613695 (2 of 3).txt
Adamstown,LOCATION,18840126-232-262613695 (2 of 3).txt
New England,LOCATION,18741218-35-13336814 (1 of 1).txt
England,LOCATION,18741218-35-13336814 (1 of 1).txt
New England,LOCATION,18741218-35-13336814 (1 of 1).txt
S. H. Terry,PERSON,18741218-35-13336814 (1 of 1).txt
Terry,PERSON,18741218-35-13336814 (1 of 1).txt
Hil,PERSON,18741218-35-13336814 (1 of 1).txt
P. Abbott,PERSON,18741218-35-13336814 (1 of 1).txt
Fraser,PERSON,18741218-35-13336814 (1 of 1).txt
Baracchi,PERSON,18980204-241-87647802 (1 of 2).txt
Australia,LOCATION,18980204-241-87647802 (1 of 2).txt
New Zealand,LOCATION,18980204-241-87647802 (1 of 2).txt
Beech Forest,LOCATION,18980204-241-87647802 (1 of 2).txt
Willis,PERSON,18980204-241-87647802 (1 of 2).txt
Marray,PERSON,18980204-241-87647802 (1 of 2).txt
James,PERSON,18591209-189-72463698 (1 of 1).txt
Blackwood,PERSON,18591209-189-72463698 (1 of 1).txt
Harris,PERSON,18591209-189-72463698 (1 of 1).txt
Brown,PERSON,18591209-189-72463698 (1 of 1).txt
Ballarat Hospi,LOCATION,18591209-189-72463698 (1 of 1).txt
John Elder,PERSON,18800114-180-65960545 (1 of 1).txt
Orient,LOCATION,18800114-180-65960545 (1 of 1).txt
King George,ORGANIZATION,18800114-180-65960545 (1 of 1).txt
Adelaide,LOCATION,18800114-180-65960545 (1 of 1).txt
Adelaide,LOCATION,18800114-180-65960545 (1 of 1).txt
Melbourne,LOCATION,18800114-180-65960545 (1 of 1).txt
W. J. Clarke,PERSON,18800114-180-65960545 (1 of 1).txt
Queensland,LOCATION,18800114-180-65960545 (1 of 1).txt
Adelaide,LOCATION,18800114-180-65960545 (1 of 1).txt
Orient Steamship Company,ORGANIZATION,18800114-180-65960545 (1 of 1).txt
Melbourne,LOCATION,18800114-180-65960545 (1 of 1).txt
Sydney,LOCATION,18800114-180-65960545 (1 of 1).txt
red Bank,ORGANIZATION,18870122-792-170598464 (1 of 2).txt
Clunes,PERSON,18870122-792-170598464 (1 of 2).txt
Johnson,PERSON,18870122-792-170598464 (1 of 2).txt
America,LOCATION,18870122-792-170598464 (1 of 2).txt
Agriculture,ORGANIZATION,18870122-792-170598464 (1 of 2).txt
Martin,PERSON,18870122-792-170598464 (1 of 2).txt
Martin,PERSON,18870122-792-170598464 (1 of 2).txt
Locksley,LOCATION,18870122-792-170598464 (1 of 2).txt
Geelong,LOCATION,18870122-792-170598464 (1 of 2).txt
Cape Otway,LOCATION,18870122-792-170598464 (1 of 2).txt
Maryborough,LOCATION,18870122-792-170598464 (1 of 2).txt
William Archer,PERSON,18870122-792-170598464 (1 of 2).txt
Nagambie,LOCATION,18870122-792-170598464 (1 of 2).txt
John O'Neil,PERSON,18870122-792-170598464 (1 of 2).txt
John Beatey,PERSON,18870122-792-170598464 (1 of 2).txt
Avenel,LOCATION,18870122-792-170598464 (1 of 2).txt
Maryborough,LOCATION,18870122-792-170598464 (1 of 2).txt
Jones,PERSON,18870122-792-170598464 (1 of 2).txt
Scotchman,PERSON,18750612-319-197934039 (1 of 2).txt
Rochester,LOCATION,18750612-319-197934039 (1 of 2).txt
Standish,PERSON,18750612-319-197934039 (1 of 2).txt
Rochford,LOCATION,18800113-1324-240933957 (1 of 1).txt
Monument Creek,LOCATION,18800113-1324-240933957 (1 of 1).txt
Kot,PERSON,18800113-1324-240933957 (1 of 1).txt
Rochester Express,ORGANIZATION,18800113-1324-240933957 (1 of 1).txt
Panoobamawn,PERSON,18800113-1324-240933957 (1 of 1).txt
Pine Grove,PERSON,18800113-1324-240933957 (1 of 1).txt
Sacntinluetjot,PERSON,18680102-108-61208482 (1 of 1).txt
Lyons,PERSON,18680102-108-61208482 (1 of 1).txt
M. Guiot,PERSON,18680102-108-61208482 (1 of 1).txt
Lind,PERSON,18680102-108-61208482 (1 of 1).txt
Nairne,PERSON,18771110-288-90943697 (1 of 1).txt
Hawk,PERSON,18771110-288-90943697 (1 of 1).txt
Cal,LOCATION,18771110-288-90943697 (1 of 1).txt
Deane,PERSON,18771110-288-90943697 (1 of 1).txt
Nairne,PERSON,18771110-288-90943697 (1 of 1).txt
Gadd,PERSON,18980314-10-9417426 (7 of 14).txt
Gadd,PERSON,18980314-10-9417426 (7 of 14).txt
Parliament,ORGANIZATION,18980314-10-9417426 (7 of 14).txt
Victoria,PERSON,18980314-10-9417426 (7 of 14).txt
Whitton,PERSON,18600702-35-13042578 (1 of 1).txt
Goulburn,LOCATION,18600702-35-13042578 (1 of 1).txt
Pleasant Creek News,ORGANIZATION,18710211-13-5842496 (2 of 2).txt
Enibley,LOCATION,18961221-346-88994627 (1 of 1).txt
Harrison,PERSON,18961221-346-88994627 (1 of 1).txt
KLMOKE,LOCATION,18961221-346-88994627 (1 of 1).txt
MOORA,LOCATION,18961221-346-88994627 (1 of 1).txt
Moora Racing Club,ORGANIZATION,18961221-346-88994627 (1 of 1).txt
Rose,PERSON,18961221-346-88994627 (1 of 1).txt
Gilpin,PERSON,18961221-346-88994627 (1 of 1).txt
Steeplechase-Bob,PERSON,18961221-346-88994627 (1 of 1).txt
Cracker,PERSON,18961221-346-88994627 (1 of 1).txt
Cartridge,LOCATION,18961221-346-88994627 (1 of 1).txt
Cappidie,PERSON,18961221-346-88994627 (1 of 1).txt
Moora,LOCATION,18961221-346-88994627 (1 of 1).txt
Benecia Boy,PERSON,18961221-346-88994627 (1 of 1).txt
Ruby,PERSON,18961221-346-88994627 (1 of 1).txt
Deadshot,PERSON,18961221-346-88994627 (1 of 1).txt
Roseniont,PERSON,18961221-346-88994627 (1 of 1).txt
Venus,PERSON,18961221-346-88994627 (1 of 1).txt
Toby,PERSON,18961221-346-88994627 (1 of 1).txt
Hamilton,LOCATION,18790109-567-226064615 (2 of 3).txt
Bsanxholhe,LOCATION,18790109-567-226064615 (2 of 3).txt
William Gray,PERSON,18790109-567-226064615 (2 of 3).txt
Audley,PERSON,18790109-567-226064615 (2 of 3).txt
D. Vines,PERSON,18790109-567-226064615 (2 of 3).txt
Isle,LOCATION,18510331-13-4777002 (2 of 4).txt
moon,LOCATION,18510331-13-4777002 (2 of 4).txt
Bush,PERSON,18510331-13-4777002 (2 of 4).txt
Egremont,LOCATION,18510331-13-4777002 (2 of 4).txt
Herald,ORGANIZATION,18950122-492-121316350 (1 of 1).txt
