0,1,2,__mappify_error
BLAYKEY,,18880204-698-164361803 (1 of 3).txt,
Manchester,,18880204-698-164361803 (1 of 3).txt,
COWRA,,18880204-698-164361803 (1 of 3).txt,
Koorawatha,,18880204-698-164361803 (1 of 3).txt,
COONAMBLE,,18880204-698-164361803 (1 of 3).txt,
Sydney,,18880204-698-164361803 (1 of 3).txt,
Shire Hall,,18860227-43-22097327 (1 of 3).txt,
Melbourne,,18860227-43-22097327 (1 of 3).txt,
Melbourne,,18860227-43-22097327 (1 of 3).txt,
Warrnambool,,18860227-43-22097327 (1 of 3).txt,
Station Field,,18680111-42-20316878 (2 of 3).txt,
Garden,,18680111-42-20316878 (2 of 3).txt,
T.K,,18680111-42-20316878 (2 of 3).txt,
Mount Ducinbin,,18680111-42-20316878 (2 of 3).txt,
Creek,,18800203-487-127643708 (1 of 2).txt,
Echnca,,18650318-103-63170016 (8 of 23).txt,
Goornong,,18650318-103-63170016 (8 of 23).txt,
