INDEX,FILE,QUOTE_TRANSCRIPTION,LAT,LNG,VERIFICATION_STATUS,COMMENT,SECOND_QUOTE_TRANSCRIPTION,Column
101,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,Atholton,,,NOT_IDENTIFIABLE,Imaginary,Atholton,
102,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,Atholton,,,NOT_IDENTIFIABLE,Imaginary,Atholton,
103,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,Atholton,,,NOT_IDENTIFIABLE,Imaginary,Atholton,
104,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,New Zealand,-41.7944599,171.3331694,VERIFIED,,New Zealand,
105,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,Mulgoa,-33.838,150.64963,VERIFIED,,Mulgoa,
106,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,New South Wales,-32.1690028,147.0117543,VERIFIED,,New South Wales,
107,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Australia,-25.73650334,134.48623,VERIFIED,,Austreelay,
108,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Scotland,56.4907,4.2026,NOT_IDENTIFIABLE,Geographic Region,Scotland,
109,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Australia,-25.73650334,134.48623,UNVERIFIED,Geographic Region,Australia,
110,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Australia,-25.73650334,134.48623,UNVERIFIED,Geographic Region,Australia,
111,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Rocky Point,,,NOT_IDENTIFIABLE,Imaginary,Rocky Point,
112,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Australia,-25.73650334,134.48623,UNVERIFIED,Geographic Region,Australia,
113,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Haustraliar,-25.73650334,134.48623,VERIFIED,,Haustraliar,
114,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,Newcastle,-32.92715,151.77647,VERIFIED,,Newcastle,
115,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
117,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
118,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
119,10359_26_01_1912_3_XII__31392947.txt,Perth,-41.57231,147.17096,UNVERIFIED,,Perth,
120,10359_26_01_1912_3_XII__31392947.txt,Sydney,-33.86785,151.20732,UNVERIFIED,,Sydney,
121,10359_26_01_1912_3_XII__31392947.txt,Fremantle,-32.05454,115.75127,VERIFIED,,Fremantle,
122,10359_26_01_1912_3_XII__31392947.txt,Perth,-41.57231,147.17096,UNVERIFIED,,Perth,
124,10359_26_01_1912_3_XII__31392947.txt,Sydney,-33.86785,151.20732,UNVERIFIED,,Sydney,
