article_id,Placename,Filename,latitude,longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id
26877306,Atholton,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,,,None,,,0,,None,10214
26877306,Atholton,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,,,None,,,0,,None,10214
26877306,Atholton,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,,,None,,,0,,None,10214
26877306,New Zealand,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,,,None,,,0,,None,10214
26877306,Mulgoa,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,150.6511111,-33.815,NSW,0.017322411,0.016666667,3,100,exact,10214
85846996,New South Wales,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,147.0177778,-32.16166667,NSW,0,0,1,100,exact,11432
85846996,Australia,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,11432
85846996,Scotland,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,,,None,,,0,,None,11432
85846996,Australia,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,11432
85846996,Australia,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,11432
85846996,Rocky Point,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,148.2344444,-32.63276,Ambiguous,12.58921984,9.717033825,74,,exact,11432
85846996,Australia,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,11432
85846996,Haustraliar,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,,,None,,,0,,None,11432
85846996,Newcastle,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,151.7177778,-32.865,NSW,1.579793292,0.094280904,4,75,exact,11432
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Perth,10359_26_01_1912_3_XII__31392947.txt,115.85905,-31.95184,Ambiguous,12.89798925,0.004257786,12,,exact,10359
31392947,Sydney,10359_26_01_1912_3_XII__31392947.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,10359
31392947,Fremantle,10359_26_01_1912_3_XII__31392947.txt,115.7459,-32.055085,WA,0.006672194,0.006670032,4,100,exact,10359
31392947,Perth,10359_26_01_1912_3_XII__31392947.txt,115.85905,-31.95184,Ambiguous,12.89798925,0.004257786,12,,exact,10359
31392947,Sydney,10359_26_01_1912_3_XII__31392947.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,British,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Alain Street,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Sydney,10359_26_01_1912_3_XII__31392947.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,10359
31392947,Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Toronto,10359_26_01_1912_3_XII__31392947.txt,146.8922417,-35.1265435,NSW,1.508757625,0.367979771,5,80,exact,10359
31392947,Manitoba,10359_26_01_1912_3_XII__31392947.txt,148.8091515,-31.35794375,NSW,2.713697077,2.713697077,2,100,exact,10359
31392947,New South Wales,10359_26_01_1912_3_XII__31392947.txt,147.0177778,-32.16166667,NSW,0,0,1,100,exact,10359
31392947,Lake Superior,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
31392947,Broken Hill,10359_26_01_1912_3_XII__31392947.txt,141.4511111,-31.965,NSW,0.002777778,0,3,100,exact,10359
31392947,Fort William,10359_26_01_1912_3_XII__31392947.txt,138.55,-18.65,QLD,0,0,1,100,exact,10359
31392947,Kenora,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359
