,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
99,VASSE,LOCATION,18750216-29-2973699 (1 of 1).txt,VASSE,WA,-33.67781131,115.2352321,100
102,PORCUPINE RIDGE,LOCATION,18990211-621-221142853 (1 of 2).txt,PORCUPINE RIDGE,VIC,-37.30347273,144.1877007,100
103,PORCUPINE RIDGE,LOCATION,18990211-621-221142853 (1 of 2).txt,PORCUPINE RIDGE,VIC,-37.30347273,144.1877007,100
105,DUBBO,LOCATION,18881201-698-161888468 (4 of 8).txt,DUBBO,NSW,-32.37824209,148.6914051,100
106,ROCKLEY,LOCATION,18720104-8-18760114 (3 of 3).txt,ROCKLEY,NSW,-33.68178318,149.5626508,100
107,TALBOT,LOCATION,18720104-8-18760114 (3 of 3).txt,TALBOT,WA,-31.98748585,116.6658191,100
108,CHILTERN,LOCATION,18720104-8-18760114 (3 of 3).txt,CHILTERN,VIC,-36.23636699,146.6299499,100
111,COONAMBLE,LOCATION,18840109-232-262612545 (1 of 1).txt,COONAMBLE,NSW,-30.94977099,148.3939328,100
113,SUGARLOAF,LOCATION,18700115-8-18742689 (3 of 5).txt,SUGARLOAF,QLD,-28.70296231,152.0625514,100
114,TONGIO,LOCATION,18840126-326-198970048 (1 of 1).txt,TONGIO,VIC,-37.17857705,147.7483637,100
116,ADELAIDE,LOCATION,18910228-464-115569494 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
120,KURRAJONG,LOCATION,18970320-192-72551351 (1 of 1).txt,KURRAJONG,NSW,-33.55283232,150.6697908,100
122,LACHLAN,LOCATION,18931213-508-112931958 (2 of 5).txt,LACHLAN,TAS,-42.85241971,147.026628,100
123,SPRINGWOOD,LOCATION,18931213-650-156674668 (3 of 3).txt,SPRINGWOOD,QLD,-27.62695025,153.1476448,100
124,COWRA,LOCATION,18931213-650-156674668 (3 of 3).txt,COWRA,NSW,-33.83208066,148.6610691,100
125,YORK,LOCATION,18620219-180-69136194 (3 of 3).txt,YORK,WA,-31.87259029,116.7833291,100
126,BEVERLEY,LOCATION,18620219-180-69136194 (3 of 3).txt,BEVERLEY,SA,-34.8960518,138.5506228,100
131,RICHMOND,LOCATION,18520218-21-2959457 (1 of 2).txt,RICHMOND,SA,-34.94201162,138.5672635,100
132,HUON,LOCATION,18520218-21-2959457 (1 of 2).txt,HUON,VIC,-36.21994853,147.0679002,100
133,MOUNT EGERTON,LOCATION,18820328-185-200668998 (1 of 2).txt,MOUNT EGERTON,VIC,-37.651776,144.090626,100
136,CARLTON,LOCATION,18820328-185-200668998 (1 of 2).txt,CARLTON,VIC,-37.800968,144.973457,100
137,FITZROY,LOCATION,18820328-185-200668998 (1 of 2).txt,FITZROY,VIC,-37.804306,144.976491,100
138,MELBOURNE,LOCATION,18820328-185-200668998 (1 of 2).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
139,PENSHURSTA,LOCATION,18730308-567-194848417 (1 of 1).txt,PENSHURST,VIC,-37.84371314,142.2876373,100
140,MELBOURNE,LOCATION,18550210-170-65718847 (1 of 2).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
141,MELBOURNE,LOCATION,18550210-170-65718847 (1 of 2).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
143,BREAM CREEK,LOCATION,18550210-170-65718847 (1 of 2).txt,BREAM CREEK,TAS,-42.80088125,147.8363885,100
145,ANGLEDOOL,LOCATION,18720115-67-60880075 (2 of 2).txt,ANGLEDOOL,NSW,-29.14974208,148.0407573,100
146,BLUO MOUNTAINS,LOCATION,18751012-1056-212667061 (1 of 1).txt,BLUE MOUNTAIN,QLD,-21.55815551,149.0424311,92
147,MELBOURNE,LOCATION,18751012-1056-212667061 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
