0,1,2
Bankin,PERSON,18570106-13-7142775.txt
Douglas,PERSON,18570106-13-7142775.txt
Cogbill,PERSON,18570106-13-7142775.txt
Clunes,ORGANIZATION,18570106-13-7142775.txt
Winkleigh,LOCATION,18840328-74-90549238.txt
West,LOCATION,18840328-74-90549238.txt
Tamar,LOCATION,18840328-74-90549238.txt
Hepburn,PERSON,18840328-74-90549238.txt
Shanahan,PERSON,18750724-366-100842064.txt
Doyle,PERSON,18750724-366-100842064.txt
KOROIT,LOCATION,18770224-621-221766061.txt
Electric,ORGANIZATION,18770224-621-221766061.txt
Telegraph,ORGANIZATION,18770224-621-221766061.txt
KOROIT,LOCATION,18770224-621-221766061.txt
Patrick,PERSON,18770224-621-221766061.txt
Joyce,PERSON,18770224-621-221766061.txt
Alfred,PERSON,18770224-621-221766061.txt
Warburton,PERSON,18770224-621-221766061.txt
Daniel,PERSON,18770224-621-221766061.txt
Downey,PERSON,18770224-621-221766061.txt
Hawkesdale,LOCATION,18770224-621-221766061.txt
Samuel,PERSON,18770224-621-221766061.txt
Baird,PERSON,18770224-621-221766061.txt
Phipps,ORGANIZATION,18770224-621-221766061.txt
Turnbull,ORGANIZATION,18770224-621-221766061.txt
Stewart,ORGANIZATION,18770224-621-221766061.txt
Brothers,ORGANIZATION,18770224-621-221766061.txt
Patrick,PERSON,18770224-621-221766061.txt
Murphy,PERSON,18770224-621-221766061.txt
Gray,PERSON,18770224-621-221766061.txt
Koroit,LOCATION,18770224-621-221766061.txt
Belfast,LOCATION,18770224-621-221766061.txt
Downey,PERSON,18770224-621-221766061.txt
BIRDSVILLE,LOCATION,18950703-16-3605173.txt
Birdsville,ORGANIZATION,18950703-16-3605173.txt
Jockey,ORGANIZATION,18950703-16-3605173.txt
Club,ORGANIZATION,18950703-16-3605173.txt
Roult,PERSON,18950703-16-3605173.txt
Brlesls,PERSON,18950703-16-3605173.txt
Ost,PERSON,18950703-16-3605173.txt
Barney,PERSON,18950703-16-3605173.txt
Ost,PERSON,18950703-16-3605173.txt
Hillary,PERSON,18950703-16-3605173.txt
Ost,PERSON,18950703-16-3605173.txt
Denmark,LOCATION,18950703-16-3605173.txt
Steelribs,PERSON,18950703-16-3605173.txt
Bluebell,ORGANIZATION,18950703-16-3605173.txt
Ott,PERSON,18950703-16-3605173.txt
Flemington,LOCATION,18950703-16-3605173.txt
Tambo,PERSON,18950703-16-3605173.txt
Mvrtlc,PERSON,18950703-16-3605173.txt
Torkeenay,PERSON,18950703-16-3605173.txt
Coolyoo,PERSON,18950703-16-3605173.txt
Slim,PERSON,18950703-16-3605173.txt
Jim,PERSON,18950703-16-3605173.txt
Tim,PERSON,18950703-16-3605173.txt
Jack,PERSON,18950703-16-3605173.txt
Birdsville,LOCATION,18950703-16-3605173.txt
Handicap,LOCATION,18950703-16-3605173.txt
Smilt,PERSON,18950703-16-3605173.txt
Hillary,PERSON,18950703-16-3605173.txt
Ost,PERSON,18950703-16-3605173.txt
Denmark,LOCATION,18950703-16-3605173.txt
Jasper,PERSON,18950703-16-3605173.txt
Steelrlbs,PERSON,18950703-16-3605173.txt
Bluebell,ORGANIZATION,18950703-16-3605173.txt
Dick,PERSON,18950703-16-3605173.txt
Sleuth,PERSON,18950703-16-3605173.txt
Tambo,PERSON,18950703-16-3605173.txt
Flemington,LOCATION,18950703-16-3605173.txt
Frank,PERSON,18950703-16-3605173.txt
Myrtle,LOCATION,18950703-16-3605173.txt
Torkeenay,PERSON,18950703-16-3605173.txt
Coolyoo,PERSON,18950703-16-3605173.txt
Slim,PERSON,18950703-16-3605173.txt
Jim,PERSON,18950703-16-3605173.txt
Tim,PERSON,18950703-16-3605173.txt
Jack,PERSON,18950703-16-3605173.txt
Birdsville,LOCATION,18950703-16-3605173.txt
Handicap,LOCATION,18950703-16-3605173.txt
Smilt,PERSON,18950703-16-3605173.txt
Hillary,PERSON,18950703-16-3605173.txt
Ost,PERSON,18950703-16-3605173.txt
Denmark,LOCATION,18950703-16-3605173.txt
Jasper,PERSON,18950703-16-3605173.txt
Steelrlbs,PERSON,18950703-16-3605173.txt
Bluebell,ORGANIZATION,18950703-16-3605173.txt
Dick,PERSON,18950703-16-3605173.txt
Sleuth,PERSON,18950703-16-3605173.txt
Tambo,PERSON,18950703-16-3605173.txt
Flemington,LOCATION,18950703-16-3605173.txt
Frank,PERSON,18950703-16-3605173.txt
Myrtle,LOCATION,18950703-16-3605173.txt
W.,PERSON,18950703-16-3605173.txt
RICHARDSON,PERSON,18950703-16-3605173.txt
Smith,PERSON,18950703-16-3605173.txt
Parliament,ORGANIZATION,18700622-567-196304174.txt
Cape,LOCATION,18700622-567-196304174.txt
Patterson,LOCATION,18700622-567-196304174.txt
Bass,LOCATION,18700622-567-196304174.txt
River,LOCATION,18700622-567-196304174.txt
Cape,LOCATION,18700622-567-196304174.txt
Patterson,LOCATION,18700622-567-196304174.txt
Carew,PERSON,18700622-567-196304174.txt
Geelong,LOCATION,18700622-567-196304174.txt
Britannia,LOCATION,18700622-567-196304174.txt
Hotel,LOCATION,18700622-567-196304174.txt
Treasury,ORGANIZATION,18690410-386-106235977.txt
DOLLY,PERSON,18731219-232-192282356.txt
Dolly,PERSON,18731219-232-192282356.txt
Creek,LOCATION,18731219-232-192282356.txt
Hollingworth,PERSON,18731219-232-192282356.txt
Beckmann,PERSON,18731219-232-192282356.txt
John,PERSON,18731219-232-192282356.txt
Brewster,PERSON,18731219-232-192282356.txt
Jenny,PERSON,18731219-232-192282356.txt
Bun,PERSON,18870219-698-163282747.txt
Deniliquin,LOCATION,18870219-698-163282747.txt
VICTORIA,PERSON,18700128-28-3754026.txt
Forrest,PERSON,18700128-28-3754026.txt
North,LOCATION,18700128-28-3754026.txt
Catholic,ORGANIZATION,18700128-28-3754026.txt
Mission,ORGANIZATION,18700128-28-3754026.txt
England,LOCATION,18601013-1215-30630670.txt
Rome,LOCATION,18601013-1215-30630670.txt
Forrest,PERSON,18601013-1215-30630670.txt
SOUTH,LOCATION,18881119-10-9201458.txt
WALES,LOCATION,18881119-10-9201458.txt
IB,ORGANIZATION,18881119-10-9201458.txt
Australasian,ORGANIZATION,18881119-10-9201458.txt
Steam,ORGANIZATION,18881119-10-9201458.txt
Navi-,ORGANIZATION,18881119-10-9201458.txt
gation,ORGANIZATION,18881119-10-9201458.txt
Co,ORGANIZATION,18881119-10-9201458.txt
Queensland,LOCATION,18881119-10-9201458.txt
Sydney,LOCATION,18881119-10-9201458.txt
Emma,PERSON,18881119-10-9201458.txt
Bailey,PERSON,18881119-10-9201458.txt
Guildford,LOCATION,18881119-10-9201458.txt
Parramatta,LOCATION,18881119-10-9201458.txt
John,PERSON,18881119-10-9201458.txt
Willisms,PERSON,18881119-10-9201458.txt
South,LOCATION,18881119-10-9201458.txt
Sea,LOCATION,18881119-10-9201458.txt
New,LOCATION,18881119-10-9201458.txt
Guinea,LOCATION,18881119-10-9201458.txt
Raiatea,LOCATION,18881119-10-9201458.txt
Tiave,PERSON,18881119-10-9201458.txt
France,LOCATION,18881119-10-9201458.txt
New,LOCATION,18881119-10-9201458.txt
Guinea,LOCATION,18881119-10-9201458.txt
Fort,LOCATION,18881119-10-9201458.txt
Moresby,LOCATION,18881119-10-9201458.txt
A.A.,ORGANIZATION,18840124-508-109871323.txt
CO.,ORGANIZATION,18840124-508-109871323.txt
COBREsrouKEXT.l,ORGANIZATION,18840124-508-109871323.txt
Newcastle,ORGANIZATION,18840124-508-109871323.txt
Adainstown,LOCATION,18840124-508-109871323.txt
Beveralacoi,PERSON,18840124-508-109871323.txt
Bjoaoke,PERSON,18840124-508-109871323.txt
Charlestown,LOCATION,18840124-508-109871323.txt
Adamstown,LOCATION,18840124-508-109871323.txt
Charlestowii,PERSON,18840124-508-109871323.txt
Mars,LOCATION,18670213-180-69385774.txt
AUSTRALIA,LOCATION,18670213-180-69385774.txt
Chief-Inspector,PERSON,18670213-180-69385774.txt
Hamilton,PERSON,18670213-180-69385774.txt
Mouul,LOCATION,18670213-180-69385774.txt
Gambier,LOCATION,18670213-180-69385774.txt
Stevens,PERSON,18670213-180-69385774.txt
